id,betreff,text
1,Wo bleibt meine Bestellung?,"Guten Tag, ich habe am 03.03. bestellt (Nr. 884120) und bis heute weder Ware noch Sendungsnummer erhalten. Können Sie mir sagen, wann geliefert wird? Viele Grüße, M. Weber"
2,Sendungsverfolgung ohne Fortschritt,"Hallo, die Sendungsverfolgung zeigt seit vier Tagen unverändert ""Sendung im Verteilzentrum"". Ist das Paket verloren gegangen? Bestellnummer 884377."
3,Lieferadresse ändern,"Sehr geehrte Damen und Herren, ich ziehe kommende Woche um. Kann die Lieferung meiner Bestellung 885001 noch an die neue Adresse (Hauptstr. 12, 40213 Düsseldorf) gehen? Danke!"
4,Paket als zugestellt markiert - nicht erhalten,"Der Status sagt ""zugestellt am 11.03., 14:22"", bei mir ist aber nichts angekommen. Auch die Nachbarn haben nichts. Was passiert jetzt? Bestellung 884955."
5,Nachlieferung offener Artikel,"Hallo zusammen, von meiner Bestellung 883712 kamen nur zwei von drei Artikeln an. Auf dem Lieferschein steht ""Rest folgt"". Wann kommt der Rest?"
6,Paket beim Nachbarn abgegeben,"Guten Tag, DHL hat laut Beleg das Paket ""beim Nachbarn"" abgegeben, ohne anzugeben bei welchem. Können Sie das nachvollziehen? Bestellnr. 885120."
7,Liefertermin Vorbestellung,"Hallo, ich habe den neuen Modellsatz vorbestellt. Auf der Seite stand ""Versand ab KW 12"". Bleibt es dabei? Ich brauche ihn zu einem festen Termin."
8,Versand nach Österreich,"Guten Tag, liefern Sie auch nach Österreich, und wie lange dauert der Versand dorthin ungefähr? Danke im Voraus."
9,Paket nie angekommen - Frist abgelaufen,"Seit meiner Bestellung 882440 sind sechs Wochen vergangen. Das Paket ist nie angekommen, auf meine erste Nachfrage kam keine Antwort. Ich erwarte jetzt eine verbindliche Aussage."
10,Express-Versand nicht eingehalten,"Ich habe für Bestellung 885233 Express-Versand (24h) bezahlt. Das Paket kam nach vier Tagen. Ich möchte die Versandkosten zurück."
11,Rechnung fehlt,"Guten Tag, zu meiner Bestellung 884610 habe ich keine Rechnung erhalten. Ich brauche sie für die Buchhaltung. Können Sie sie mir zusenden?"
12,Betrag doppelt abgebucht,"Hallo, für Bestellung 884880 wurden 149,90 EUR zweimal von meinem Konto abgebucht (12.03. und 13.03.). Bitte um Rückerstattung."
13,Mahnung trotz Zahlung,"Sehr geehrte Damen und Herren, ich habe heute eine Mahnung über 89,00 EUR erhalten, obwohl ich die Rechnung 2024-11882 bereits am 28.02. überwiesen habe. Anbei der Zahlungsnachweis."
